Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,183455,12682.704800000001,285,2172411,0.0
vEZ2DTXnc5O,GOOD Video 01,"Jan 01, 2025",529.0,893,67.6268,2,5845,4.77
XIZuqaInmEw,GOOD Video 02,"Jan 03, 2025",719.0,965,54.0977,1,7275,6.21
-HsAL36GT8s,GOOD Video 03,"Jan 06, 2025",522.0,904,66.5406,1,15457,5.33
-F4Y31w79Ai,GOOD Video 04,"Jan 08, 2025",517.0,1213,93.5892,3,10009,7.05
4JOmEuJXjDI,GOOD Video 05,"Jan 11, 2025",540.0,963,43.5654,1,11163,5.24
TwBAQ2fdsc8,GOOD Video 06,"Jan 13, 2025",236.0,1167,99.6922,1,14350,7.81
HXKpjA9HXc3,GOOD Video 07,"Jan 16, 2025",510.0,1308,107.2224,4,20892,5.45
gVkjhD7bhTb,GOOD Video 08,"Jan 18, 2025",358.0,1515,110.6097,4,28756,3.94
ETh7e5lJdR-,GOOD Video 09,"Jan 21, 2025",544.0,1433,80.3045,5,10849,5.15
fCTySV3DL6v,GOOD Video 10,"Jan 23, 2025",977.0,1408,85.6029,5,21392,6.38
QMdrpJMDuO8,GOOD Video 11,"Jan 26, 2025",484.0,1676,116.2604,2,17580,6.77
U18P7jwErIa,GOOD Video 12,"Jan 28, 2025",455.0,1562,83.115,4,17505,6.42
62rvXNynDdM,GOOD Video 13,"Jan 31, 2025",455.0,1476,92.1928,1,22207,4.16
MPdI2m1GVsb,GOOD Video 14,"Feb 02, 2025",587.0,2010,185.2078,6,23626,6.24
HRqvFk0ppda,GOOD Video 15,"Feb 05, 2025",152.0,1937,131.6796,4,14032,5.09
A8_WiMGoi7q,GOOD Video 16,"Feb 07, 2025",415.0,1811,148.6231,3,35228,3.47
u0xdmqRFPx2,GOOD Video 17,"Feb 10, 2025",732.0,2095,117.5705,5,15890,5.98
Mpoc2vlJXVE,GOOD Video 18,"Feb 12, 2025",470.0,1914,133.3347,5,24572,5.26
bMpLG4hVVer,GOOD Video 19,"Feb 15, 2025",466.0,2500,203.376,0,19093,3.91
c4z335MMtkH,GOOD Video 20,"Feb 17, 2025",880.0,2515,199.162,3,38640,5.92
V6pmPr7S-cQ,GOOD Video 21,"Feb 20, 2025",733.0,2197,173.0603,3,21704,6.55
FjNg1Xfhto0,GOOD Video 22,"Feb 22, 2025",467.0,2293,183.2199,2,26222,5.83
bOtpqgifw3m,GOOD Video 23,"Feb 25, 2025",509.0,2427,130.7078,3,31965,5.14
SJJNVrBfOQw,GOOD Video 24,"Feb 27, 2025",285.0,2635,172.0093,3,26586,6.39
ZxuhVT-SAN6,GOOD Video 25,"Mar 02, 2025",685.0,3017,197.1567,7,55327,6.41
K_06bcI3hkZ,GOOD Video 26,"Mar 04, 2025",689.0,1860,110.3786,2,16218,7.47
s_z2qcHxPAS,GOOD Video 27,"Mar 07, 2025",502.0,2629,136.9164,3,44949,5.83
nswAsJu4iw-,GOOD Video 28,"Mar 09, 2025",164.0,2996,247.3215,4,30230,6.94
