Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,65919,113.2621,29,328550,0.0
7XDCG2LmlZG,New update first impressions,"Jan 07, 2025",575,394,0.9686,0,2480,4.23
dcm4pMbXDuC,Budget setup review,"Jan 08, 2025",473,505,0.7464,0,1669,3.89
fIZ4SOcMz9C,VS Code setup for faster coding,"Jan 11, 2025",430,425,0.6284,0,2447,7.32
aQfDPrAJ71f,Campus life vlog,"Jan 13, 2025",984,897,1.7126,1,4928,6.34
TzAeKOmXRrv,A day in my life as a CS student,"Jan 22, 2025",735,306,0.748,0,1612,5.55
beKXgzg2sye,Quick tip: pandas,"Jan 23, 2025",830,446,0.3137,0,1665,6.07
pTgadDZFlRJ,10 Python tips you will use,"Jan 25, 2025",744,505,0.6857,0,2065,4.01
PyhzAnar3ZL,Weekend reset and productivity,"Jan 27, 2025",447,142,0.2938,0,708,4.8
OpaMxxNDi9L,Fix this common bug in 15 minutes,"Jan 29, 2025",744,221,0.4287,0,1077,4.72
KgcjnCqaXNv,Weekend reset and productivity,"Feb 01, 2025",237,64,0.0664,0,271,6.11
jt6o0NpUmkV,Fast fix for pandas,"Feb 01, 2025",235,319,0.2231,0,1450,6.53
fAdggcG9qpV,Finals week routine,"Feb 15, 2025",473,313,0.6844,0,1598,4.95
berACpdclsx,Flask dashboard from scratch,"Feb 20, 2025",481,275,0.5092,0,1588,6.43
sHl7UeioEJP,Best settings for FPS boost,"Feb 25, 2025",770,421,0.5378,0,1792,6.83
MOeEeUtuiee,Pomodoro session and notes,"Feb 28, 2025",837,871,2.0179,0,3788,6.63
CvQUSHL8iLc,10 Python tips you will use,"Feb 28, 2025",762,3495,5.6248,3,15362,5.2
96vwfRE5e32,Pomodoro session and notes,"Mar 12, 2025",621,284,0.589,0,1042,2.89
yyLaMeffOhq,Is this gadget worth it,"Mar 12, 2025",739,292,0.3485,0,1529,6.74
7CF5puzQqmO,Is this gadget worth it,"Mar 20, 2025",554,366,0.8825,0,2256,6.91
uniiFw152cT,Ranked grind highlights,"Mar 20, 2025",421,552,0.9001,0,3089,4.14
CD1IfHWGbtM,Study with me 10 hours,"Mar 24, 2025",45,146,0.3099,0,509,5.79
XNQ6Fq5axtj,Campus life vlog,"Mar 24, 2025",934,578,1.1726,1,2833,6.24
7n1AyOHFRuT,VS Code setup for faster coding,"Mar 29, 2025",433,245,0.4171,0,875,7.3
X1rpXjYdOhC,Ranked grind highlights,"Mar 29, 2025",988,658,0.8921,1,2297,5.94
0EqlTaWEITc,5 Python tips you will use,"Mar 31, 2025",315,303,0.7561,0,1098,6.38
3McRTrKwtPY,VS Code setup for faster coding,"Apr 01, 2025",644,537,0.8975,0,2811,8.63
8HGNWkz2YS5,Quick tip: Linux,"Apr 04, 2025",640,693,0.4593,0,3788,5.3
DmO46ayJKP4,Finals week routine,"Apr 12, 2025",368,310,0.419,0,1335,2.5
U30ZP7Thnp5,Markov Chain tutorial with examples,"Apr 21, 2025",670,223,0.2754,0,1351,2.47
ZclIvRY6iEj,VS Code setup for faster coding,"Apr 24, 2025",661,379,0.9704,0,2646,7.96
oCHJs1UJOkH,Best settings for FPS boost,"Apr 27, 2025",597,661,1.5841,0,3867,4.84
35Nnt2j9IHr,Flask dashboard from scratch,"Apr 28, 2025",541,957,1.6215,0,4171,6.75
6T2bwGfcCvJ,Is this gadget worth it,"Apr 29, 2025",279,347,0.842,0,1262,5.83
aMybIcH6zIZ,Best settings for FPS boost,"May 04, 2025",783,531,0.5677,0,3463,7.67
