Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,176779,10300.0515,191,2139552,0.0
znEEz8X3yQA,RANDOM Video 01,"Jan 01, 2025",325.0,2423,104.9565,3,30207,3.8
AV9YybUaSGj,RANDOM Video 02,"Jan 03, 2025",475.0,1106,60.6916,1,12216,5.06
3DHVIVSFtT1,RANDOM Video 03,"Jan 06, 2025",468.0,2188,117.2983,1,33751,7.75
YxoMQPM8iH0,RANDOM Video 04,"Jan 08, 2025",583.0,2515,115.2808,3,26032,6.6
JeOrFGb9xWJ,RANDOM Video 05,"Jan 11, 2025",325.0,1052,59.4061,0,10059,6.04
NvoPZFk23ZX,RANDOM Video 06,"Jan 13, 2025",471.0,1730,95.2003,2,14370,4.45
O9FKNXhrh4H,RANDOM Video 07,"Jan 16, 2025",582.0,1585,64.2491,3,26773,2.32
5WEEUxhmy7A,RANDOM Video 08,"Jan 18, 2025",334.0,2321,166.7882,2,43156,3.26
vVYdBi6vlHa,RANDOM Video 09,"Jan 21, 2025",615.0,2466,185.7054,4,47774,6.93
RgalXK5w-jl,RANDOM Video 10,"Jan 23, 2025",433.0,1638,100.4461,2,17390,4.3
zXcACVfRk7Y,RANDOM Video 11,"Jan 26, 2025",440.0,6493,496.2793,4,67233,3.59
BKxKXHMzKkx,RANDOM Video 12,"Jan 28, 2025",382.0,2133,90.8825,3,25032,6.33
juIlSHQprhj,RANDOM Video 13,"Jan 31, 2025",734.0,2181,177.8807,1,19540,4.22
nliSMiWI9Be,RANDOM Video 14,"Feb 02, 2025",425.0,10206,812.1824,12,138119,6.05
ueFdtvFdNzb,RANDOM Video 15,"Feb 05, 2025",605.0,1814,52.9496,1,18942,3.35
kDjUKCYOMq5,RANDOM Video 16,"Feb 07, 2025",560.0,1974,136.5494,1,25028,5.35
EJZ_C0hpNmt,RANDOM Video 17,"Feb 10, 2025",541.0,1089,30.1607,1,10122,4.07
NOZkJpJJF65,RANDOM Video 18,"Feb 12, 2025",732.0,5262,198.5499,5,35451,5.05
X8WCTFnJHmn,RANDOM Video 19,"Feb 15, 2025",512.0,1641,109.239,3,19545,4.34
s1Vj9aNDJDq,RANDOM Video 20,"Feb 17, 2025",453.0,2370,103.4199,4,37994,3.22
