Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,6006360,160567.8959,3942,5304.7,299004936,2.01
487b634cf01,BadChannel Video 0001,"Jan 21, 2016",2.5,34763,229.4005,38,0.0,1680701,2.53
cd62e959cc0,BadChannel Video 0002,"Jan 18, 2016",8.7,65801,1744.3225,47,10.01,1595839,4.92
af8335ff70a,BadChannel Video 0003,"Jan 09, 2016",2.0,57335,695.3454,24,0.0,1647438,4.12
efa5357657f,BadChannel Video 0004,"Jan 21, 2016",5.3,174471,5594.9748,61,73.55,7356542,2.89
270d59e2ec7,BadChannel Video 0005,"Jan 02, 2016",9.5,26188,1068.0953,4,18.01,576872,4.75
269b0c5ff5a,BadChannel Video 0006,"Feb 15, 2016",1.8,381,3.0376,0,0.0,22982,1.96
64595845f07,BadChannel Video 0007,"Feb 20, 2016",7.5,12570,244.9048,15,11.43,703509,1.85
f40eed51ea7,BadChannel Video 0008,"Feb 07, 2016",4.5,52115,1127.7142,30,72.21,1847105,2.98
cd08bac629b,BadChannel Video 0009,"Feb 18, 2016",3.5,15024,102.5895,4,0.0,852191,2.0
35977326a42,BadChannel Video 0010,"Mar 14, 2016",10.3,415,12.7141,0,0.28,19839,2.51
85edbf544a2,BadChannel Video 0011,"Mar 11, 2016",7.3,11581,226.0617,11,0.0,547149,2.43
50bc0567b01,BadChannel Video 0012,"Mar 17, 2016",2.8,26624,404.8196,27,57.03,354296,6.16
a53dee332e8,BadChannel Video 0013,"Apr 23, 2016",11.1,38607,2848.055,12,73.66,1697983,2.72
e0d2d9c8362,BadChannel Video 0014,"Apr 21, 2016",7.2,26383,959.7185,21,0.0,881452,3.71
72b74f2cac4,BadChannel Video 0015,"Apr 03, 2016",1.7,79069,594.1471,59,101.64,3141887,2.72
2d745566632,BadChannel Video 0016,"May 20, 2016",2.5,291,3.5225,0,0.06,9722,3.84
847f33add8c,BadChannel Video 0017,"Jun 01, 2016",6.1,14803,361.4756,5,15.68,519191,3.3
82c1bed19fd,BadChannel Video 0018,"Jun 25, 2016",10.1,33708,802.7912,21,15.37,4207023,1.08
aaa121f89c8,BadChannel Video 0019,"Jul 17, 2016",3.9,34243,872.0933,28,1.45,1100244,3.98
4651245e362,BadChannel Video 0020,"Jul 21, 2016",7.2,179,4.3249,0,0.01,7621,2.46
ce94d2adaba,BadChannel Video 0021,"Aug 19, 2016",5.0,44060,642.3812,29,102.26,1150511,4.56
35872e166c0,BadChannel Video 0022,"Aug 20, 2016",3.3,53147,350.0787,29,54.23,2155586,2.35
59a1062fff3,BadChannel Video 0023,"Aug 12, 2016",3.1,26759,226.9156,18,34.93,869149,2.47
b32f4e49335,BadChannel Video 0024,"Sep 11, 2016",1.0,79513,202.3833,41,64.45,3081783,2.63
1e733edeea5,BadChannel Video 0025,"Oct 04, 2016",4.2,31856,309.4168,29,0.0,1976996,1.81
90a142d79c5,BadChannel Video 0026,"Nov 16, 2016",4.8,16930,384.0845,12,24.02,392679,4.65
52f418331d1,BadChannel Video 0027,"Nov 14, 2016",11.0,31215,1352.7129,36,67.82,981566,3.45
bc71200581b,BadChannel Video 0028,"Nov 18, 2016",9.4,283,11.3431,0,0.0,7028,4.29
6801d04daa9,BadChannel Video 0029,"Dec 15, 2016",8.1,108943,5099.7921,102,23.07,3356540,3.83
c4ca1b5a14c,BadChannel Video 0030,"Dec 15, 2016",2.7,75120,287.9015,39,46.69,2728976,3.05
