Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,385849373,52118368.7026,2264831,833060.03,5510191737,7.0
7a3b82b2a8d,GoodChannel Video 0001,"Jan 18, 2016",16.0,13420,2251.0656,72,29.32,283918,3.99
b08545d5ae1,GoodChannel Video 0002,"Jan 23, 2016",16.5,12271,2204.9618,53,31.07,182845,7.62
5b73d2533cb,GoodChannel Video 0003,"Jan 24, 2016",16.5,7783,1511.4903,44,14.12,99722,7.17
91c017ee7e3,GoodChannel Video 0004,"Jan 21, 2016",15.1,9781,1898.8445,51,17.01,124793,8.24
fb3518b28f0,GoodChannel Video 0005,"Jan 25, 2016",15.5,14885,2157.1697,109,42.7,183479,7.29
f8c9bb8faee,GoodChannel Video 0006,"Jan 05, 2016",8.3,10785,938.9169,69,32.19,175905,6.3
b2954b53e0f,GoodChannel Video 0007,"Jan 18, 2016",15.7,8303,1126.5287,45,14.75,111365,8.02
8a5777335b4,GoodChannel Video 0008,"Feb 02, 2016",19.0,5179,977.2907,33,14.13,44715,9.24
fe55e6344ed,GoodChannel Video 0009,"Feb 03, 2016",16.2,6883,1125.3998,24,8.12,113848,6.67
00b736c4303,GoodChannel Video 0010,"Feb 23, 2016",15.0,9017,1421.5868,65,17.33,97848,8.74
d0e18656994,GoodChannel Video 0011,"Feb 12, 2016",10.4,6829,770.6328,35,15.1,85846,6.81
9698512632f,GoodChannel Video 0012,"Feb 26, 2016",14.8,12022,1820.3254,32,10.79,155836,7.32
ed9069e99b7,GoodChannel Video 0013,"Feb 10, 2016",9.0,10388,1109.163,55,29.75,168935,5.87
673ed18e453,GoodChannel Video 0014,"Mar 20, 2016",9.2,7211,719.1814,47,12.01,63430,9.01
4408d60c851,GoodChannel Video 0015,"Mar 13, 2016",13.3,6494,1053.0179,36,8.31,82225,7.92
b24c5a82127,GoodChannel Video 0016,"Mar 21, 2016",13.9,18351,3066.8581,66,29.81,212556,9.0
cd16832d40f,GoodChannel Video 0017,"Mar 09, 2016",11.4,4075,401.7853,16,10.12,45893,8.64
9fc148478e3,GoodChannel Video 0018,"Mar 02, 2016",21.0,43153,7105.6888,282,63.36,461184,8.25
e7714ce5005,GoodChannel Video 0019,"Mar 15, 2016",10.6,8042,861.1563,32,5.57,86993,9.42
812e0095fc9,GoodChannel Video 0020,"Apr 04, 2016",14.1,23947,3297.679,87,31.88,346123,7.73
e47046cba50,GoodChannel Video 0021,"Apr 04, 2016",21.5,5764,1416.2827,39,11.87,57051,9.01
28f65dab05b,GoodChannel Video 0022,"Apr 25, 2016",10.4,11575,1062.4531,73,41.91,147766,6.68
51bff34d999,GoodChannel Video 0023,"Apr 23, 2016",12.5,10598,1308.0729,87,27.41,110419,9.85
5784d3d5669,GoodChannel Video 0024,"Apr 20, 2016",13.7,4618,782.9009,26,8.57,109844,5.04
5dfb4e1c112,GoodChannel Video 0025,"Apr 10, 2016",8.6,5537,490.1202,31,13.86,60919,8.66
f9a027e0963,GoodChannel Video 0026,"Apr 05, 2016",13.4,12905,1612.2899,46,18.19,336770,3.81
643fc45168b,GoodChannel Video 0027,"May 01, 2016",7.7,9599,849.6201,68,32.67,139121,6.63
29dc787c1f0,GoodChannel Video 0028,"May 15, 2016",10.2,8345,773.1315,52,20.07,107379,7.94
0a47f5a39ca,GoodChannel Video 0029,"May 01, 2016",20.5,5903,1167.5627,39,19.39,69697,6.98
9498ed92a1d,GoodChannel Video 0030,"May 08, 2016",10.4,2897,292.2933,12,6.13,35076,7.21
94b4755878b,GoodChannel Video 0031,"May 26, 2016",7.1,30444,2708.9318,360,34.88,510117,5.18
96998135c6a,GoodChannel Video 0032,"May 13, 2016",14.4,24425,3944.1202,168,45.47,414175,5.72
c7785f92b6d,GoodChannel Video 0033,"May 16, 2016",7.5,8280,601.488,57,25.76,121224,7.02
8f579a35e8f,GoodChannel Video 0034,"Jun 23, 2016",13.2,9838,1328.3755,100,35.57,164665,6.2
5d7bb051f36,GoodChannel Video 0035,"Jun 26, 2016",9.9,5335,578.1605,13,16.19,57066,9.64
b947cb3a275,GoodChannel Video 0036,"Jun 22, 2016",8.6,7590,649.0792,44,14.98,95775,7.97
1d90784e2b6,GoodChannel Video 0037,"Jun 09, 2016",18.9,2398,483.5561,13,1.48,34614,7.07
3ca5bf35e9a,GoodChannel Video 0038,"Jun 05, 2016",19.9,4231,864.506,16,8.04,44889,9.05
633d1d02298,GoodChannel Video 0039,"Jun 22, 2016",15.3,25507,4836.24,175,75.12,279130,9.62
02f50dd4b0f,GoodChannel Video 0040,"Jun 15, 2016",13.3,6703,1000.062,38,21.81,62011,9.28
a9a15e590c3,GoodChannel Video 0041,"Jul 17, 2016",15.9,4318,668.9661,39,11.98,50289,7.38
5ada9317b3c,GoodChannel Video 0042,"Jul 27, 2016",8.9,10439,998.8875,87,28.68,180750,5.31
08a41be56ac,GoodChannel Video 0043,"Jul 13, 2016",14.2,10667,1202.0377,51,29.14,154463,8.25
fe81e0b6a47,GoodChannel Video 0044,"Jul 22, 2016",18.9,12555,2677.7679,102,30.25,129597,9.02
a8c1bf30a6e,GoodChannel Video 0045,"Jul 23, 2016",14.1,6377,968.0375,51,7.95,86532,7.23
d8a6230fdfb,GoodChannel Video 0046,"Jul 20, 2016",18.9,6811,1458.9832,41,23.13,115887,6.02
c5f8b89e567,GoodChannel Video 0047,"Jul 01, 2016",16.4,13905,1819.8025,128,24.86,116024,11.69
30da98bdb73,GoodChannel Video 0048,"Jul 15, 2016",18.2,4247,728.6694,29,11.35,65391,5.25
c6e3654163e,GoodChannel Video 0049,"Aug 15, 2016",6.0,11009,736.6768,69,31.75,174660,6.65
bcd3c99995e,GoodChannel Video 0050,"Aug 19, 2016",15.1,7252,1238.0448,38,19.36,103436,7.18
5cb5ce34d7b,GoodChannel Video 0051,"Aug 25, 2016",12.5,16862,1817.9051,22,26.8,363937,3.91
e8c2e26c7cd,GoodChannel Video 0052,"Aug 19, 2016",11.9,11913,1448.6465,104,27.2,145985,9.46
177ba63a698,GoodChannel Video 0053,"Aug 03, 2016",10.6,4733,566.6495,45,4.52,76756,5.9
5b54aae2871,GoodChannel Video 0054,"Aug 14, 2016",8.8,13873,1399.7121,66,23.85,149020,7.26
b8882ed8d2d,GoodChannel Video 0055,"Aug 11, 2016",10.4,13520,1509.8605,117,25.57,196296,7.16
52784007a50,GoodChannel Video 0056,"Sep 15, 2016",11.7,20557,2577.5307,204,83.65,247054,8.19
66c649cff7e,GoodChannel Video 0057,"Sep 27, 2016",13.6,20128,2828.8938,133,29.19,350175,5.98
f617868fb01,GoodChannel Video 0058,"Sep 23, 2016",6.0,6023,455.1239,49,8.04,87070,6.67
c37c99360da,GoodChannel Video 0059,"Sep 10, 2016",11.4,9524,1076.2532,77,11.16,130610,7.83
02ee5ba51e1,GoodChannel Video 0060,"Sep 15, 2016",23.4,12590,3242.5463,74,25.77,126274,10.08
842bf782d0c,GoodChannel Video 0061,"Sep 08, 2016",14.7,6972,1104.4066,38,18.19,90590,8.7
7b3a9a8a1c1,GoodChannel Video 0062,"Oct 20, 2016",6.0,9650,690.4276,75,14.98,202186,3.92
27216484778,GoodChannel Video 0063,"Oct 19, 2016",6.0,8607,499.9412,60,6.84,76383,11.86
58f2750eecb,GoodChannel Video 0064,"Oct 21, 2016",13.4,11069,1648.1409,51,33.3,129179,8.92
f9a60b36966,GoodChannel Video 0065,"Oct 25, 2016",9.1,7123,777.5976,36,25.0,70265,9.9
84768c14864,GoodChannel Video 0066,"Oct 23, 2016",14.0,27444,3777.9762,189,21.7,355453,6.85
24435f3b728,GoodChannel Video 0067,"Oct 06, 2016",10.8,21820,1979.6666,95,52.87,619392,3.19
973b6a00699,GoodChannel Video 0068,"Oct 16, 2016",12.0,10633,1422.1491,78,27.08,118819,7.87
e10563bef9a,GoodChannel Video 0069,"Nov 15, 2016",21.1,11530,2225.2454,40,16.14,150962,6.95
7c4f33ba1b2,GoodChannel Video 0070,"Nov 01, 2016",14.3,12441,1997.0444,71,20.06,225172,6.12
5b451751c69,GoodChannel Video 0071,"Nov 19, 2016",13.8,5454,696.3483,35,4.86,76256,7.38
b8544f68266,GoodChannel Video 0072,"Nov 22, 2016",18.0,10528,1701.7121,57,13.0,91770,8.15
df87e2e82fd,GoodChannel Video 0073,"Nov 03, 2016",21.0,6333,1623.3578,23,15.35,108664,5.99
9a856343f58,GoodChannel Video 0074,"Nov 23, 2016",6.4,5979,431.2322,39,3.6,83202,6.74
98fc4f4f867,GoodChannel Video 0075,"Nov 07, 2016",10.7,24382,2857.7825,183,63.47,353498,6.37
217eb8cb0d8,GoodChannel Video 0076,"Nov 02, 2016",15.2,6848,1126.301,30,7.16,71665,7.92
56648deddd3,GoodChannel Video 0077,"Dec 11, 2016",10.5,28005,3143.9243,133,73.49,419166,6.71
3bd2eb0bfae,GoodChannel Video 0078,"Dec 21, 2016",11.4,26674,3698.5078,296,48.95,336787,5.63
a63c1bf70ab,GoodChannel Video 0079,"Dec 20, 2016",11.8,10770,1394.2372,76,9.21,130361,7.16
3254ba35c64,GoodChannel Video 0080,"Dec 12, 2016",21.2,13857,3248.1711,35,32.54,197613,6.89
4a71d3ce2e0,GoodChannel Video 0081,"Dec 14, 2016",20.4,11455,2573.7385,76,16.24,94627,10.5
3b4c1460f6d,GoodChannel Video 0082,"Dec 27, 2016",17.9,10550,1747.7194,56,22.44,236346,4.45
b3e65a4b0c9,GoodChannel Video 0083,"Dec 11, 2016",6.5,16434,1208.5513,108,25.6,173442,6.56
